,br_female_shoes_262,br_female_texture_59,br_female_texture_82,eu_female_outerwear_177,eu_female_top_325,eu_female_top_394,eu_female_texture_80,us_female_outerwear_171,us_female_shoes_76,us_female_top_79
2015-01-05,0.0,0.000588987137258698,0.0,0.0020880070693312077,0.0010227509791051878,0.0020455019582103755,0.0,0.0020880070693312077,0.0,0.0020455019582103755
2015-01-12,0.0029373077551739287,0.0,0.0,0.002325604678746591,0.0,0.0,0.0,0.002325604678746591,0.0,0.002003679157738138
2015-01-19,0.0,0.0,0.0,0.0022170195289611012,0.0,0.0,0.0011264669928351984,0.0022170195289611012,0.001492852278038103,0.0
2015-01-26,0.0,0.0,0.0,0.0022705647129899428,0.0,0.0010469413711014883,0.0,0.0022705647129899428,0.0014768043221638429,0.0020938827422029766
2015-02-02,0.0016392916061772748,0.0,0.0,0.005504871791461594,0.0,0.001029975938270629,0.0005810657957367433,0.005504871791461594,0.0,0.003089927814811887
2015-02-09,0.0013597421197618323,0.0,0.0,0.003911893487587077,0.0009249972783903696,0.0009249972783903696,0.0005014800343954447,0.003911893487587077,0.004079226359285496,0.0027749918351711077
2015-02-16,0.0,0.0,0.0004808593008822955,0.009340858342390831,0.0,0.0,0.0014425779026468865,0.009340858342390831,0.0,0.001959455035158516
2015-02-23,0.0,0.0,0.0,0.011785457372775707,0.0009254475873224084,0.002776342761967225,0.0009032233213293393,0.011785457372775707,0.0043580595946801255,0.0009254475873224084
2015-03-02,0.0024418392433380232,0.0014419128726693845,0.0004806376242231281,0.0037323104362367077,0.004603817710197568,0.0,0.0,0.0037323104362367077,0.0024418392433380232,0.0009207635420395136
2015-03-09,0.0,0.0010415541290093758,0.0,0.0021234411450296985,0.0037673939277774672,0.0009418484819443668,0.0005207770645046879,0.0021234411450296985,0.0,0.0018836969638887327
2015-03-16,0.001643780080313202,0.0005480705194127499,0.0,0.002174129232613024,0.0009656106240055084,0.0,0.0005480705194127499,0.002174129232613024,0.0,0.002896831872016525
2015-03-23,0.002751349928501668,0.0,0.0,0.0,0.0,0.001840982047346068,0.0010213384490509892,0.0,0.0013756749642508338,0.001840982047346068
2015-03-30,0.0027931127881708627,0.0,0.0,0.004022551914338986,0.0,0.0,0.0,0.004022551914338986,0.0013965563940854314,0.0
